Date,Close
4/8/2010 16:00:00,29.92
4/9/2010 16:00:00,30.34
4/12/2010 16:00:00,30.32
4/13/2010 16:00:00,30.45
4/14/2010 16:00:00,30.82
4/15/2010 16:00:00,30.87
4/16/2010 16:00:00,30.67
4/19/2010 16:00:00,31.04
4/20/2010 16:00:00,31.36
4/21/2010 16:00:00,31.33
4/22/2010 16:00:00,31.39
4/23/2010 16:00:00,30.96
4/26/2010 16:00:00,31.11
4/27/2010 16:00:00,30.85
4/28/2010 16:00:00,30.91
4/29/2010 16:00:00,31
4/30/2010 16:00:00,30.54
5/3/2010 16:00:00,30.86
5/4/2010 16:00:00,30.13
5/5/2010 16:00:00,29.85
5/6/2010 16:00:00,28.98
5/7/2010 16:00:00,28.21
5/10/2010 16:00:00,28.94
5/11/2010 16:00:00,28.88
5/12/2010 16:00:00,29.44
5/13/2010 16:00:00,29.24
5/14/2010 16:00:00,28.93
5/17/2010 16:00:00,28.94
5/18/2010 16:00:00,28.6
5/19/2010 16:00:00,28.24
5/20/2010 16:00:00,27.11
5/21/2010 16:00:00,26.84
5/24/2010 16:00:00,26.27
5/25/2010 16:00:00,26.07
5/26/2010 16:00:00,25.01
5/27/2010 16:00:00,26
5/28/2010 16:00:00,25.8
6/1/2010 16:00:00,25.89
6/2/2010 16:00:00,26.46
6/3/2010 16:00:00,26.86
6/4/2010 16:00:00,25.79
6/7/2010 16:00:00,25.29
6/8/2010 16:00:00,25.11
6/9/2010 16:00:00,24.79
6/10/2010 16:00:00,25
6/11/2010 16:00:00,25.66
6/14/2010 16:00:00,25.5
6/15/2010 16:00:00,26.58
6/16/2010 16:00:00,26.32
6/17/2010 16:00:00,26.37
6/18/2010 16:00:00,26.44
6/21/2010 16:00:00,25.95
6/22/2010 16:00:00,25.77
6/23/2010 16:00:00,25.31
6/24/2010 16:00:00,25
6/25/2010 16:00:00,24.53
6/28/2010 16:00:00,24.31
6/29/2010 16:00:00,23.31
6/30/2010 16:00:00,23.01
7/1/2010 16:00:00,23.16
7/2/2010 16:00:00,23.27
7/6/2010 16:00:00,23.82
7/7/2010 16:00:00,24.3
7/8/2010 16:00:00,24.41
7/9/2010 16:00:00,24.27
7/12/2010 16:00:00,24.83
7/13/2010 16:00:00,25.13
7/14/2010 16:00:00,25.44
7/15/2010 16:00:00,25.51
7/16/2010 16:00:00,24.89
7/19/2010 16:00:00,25.23
7/20/2010 16:00:00,25.48
7/21/2010 16:00:00,25.12
7/22/2010 16:00:00,25.84
7/23/2010 16:00:00,25.81
7/26/2010 16:00:00,26.1
7/27/2010 16:00:00,26.16
7/28/2010 16:00:00,25.95
7/29/2010 16:00:00,26.03
7/30/2010 16:00:00,25.81
8/2/2010 16:00:00,26.33
8/3/2010 16:00:00,26.16
8/4/2010 16:00:00,25.73
8/5/2010 16:00:00,25.37
8/6/2010 16:00:00,25.55
8/9/2010 16:00:00,25.61
8/10/2010 16:00:00,25.07
8/11/2010 16:00:00,24.86
8/12/2010 16:00:00,24.49
8/13/2010 16:00:00,24.4
8/16/2010 16:00:00,24.5
8/17/2010 16:00:00,24.71
8/18/2010 16:00:00,24.82
8/19/2010 16:00:00,24.44
8/20/2010 16:00:00,24.23
8/23/2010 16:00:00,24.28
8/24/2010 16:00:00,24.04
8/25/2010 16:00:00,24.1
8/26/2010 16:00:00,23.82
8/27/2010 16:00:00,23.93
8/30/2010 16:00:00,23.64
8/31/2010 16:00:00,23.47
9/1/2010 16:00:00,23.9
9/2/2010 16:00:00,23.94
9/3/2010 16:00:00,24.29
9/7/2010 16:00:00,23.96
9/8/2010 16:00:00,23.93
9/9/2010 16:00:00,24.01
9/10/2010 16:00:00,23.85
9/13/2010 16:00:00,25.11
9/14/2010 16:00:00,25.03
9/15/2010 16:00:00,25.12
9/16/2010 16:00:00,25.33
9/17/2010 16:00:00,25.22
9/20/2010 16:00:00,25.43
9/21/2010 16:00:00,25.15
9/22/2010 16:00:00,24.61
9/23/2010 16:00:00,24.43
9/24/2010 16:00:00,24.78
9/27/2010 16:00:00,24.73
9/28/2010 16:00:00,24.68
9/29/2010 16:00:00,24.5
9/30/2010 16:00:00,24.49
10/1/2010 16:00:00,24.38
10/4/2010 16:00:00,23.91
10/5/2010 16:00:00,24.35
10/6/2010 16:00:00,24.33
10/7/2010 16:00:00,24.53
10/8/2010 16:00:00,24.57
10/11/2010 16:00:00,24.59
10/12/2010 16:00:00,24.83
10/13/2010 16:00:00,25.34
10/14/2010 16:00:00,25.23
10/15/2010 16:00:00,25.54
10/18/2010 16:00:00,25.82
10/19/2010 16:00:00,25.1
10/20/2010 16:00:00,25.31
10/21/2010 16:00:00,25.42
10/22/2010 16:00:00,25.38
10/25/2010 16:00:00,25.19
10/26/2010 16:00:00,25.9
10/27/2010 16:00:00,26.05
10/28/2010 16:00:00,26.28
10/29/2010 16:00:00,26.67
11/1/2010 16:00:00,26.95
11/2/2010 16:00:00,27.39
11/3/2010 16:00:00,27.03
11/4/2010 16:00:00,27.14
11/5/2010 16:00:00,26.85
11/8/2010 16:00:00,26.81
11/9/2010 16:00:00,26.95
11/10/2010 16:00:00,26.94
11/11/2010 16:00:00,26.68
11/12/2010 16:00:00,26.27
11/15/2010 16:00:00,26.2
11/16/2010 16:00:00,25.81
11/17/2010 16:00:00,25.57
11/18/2010 16:00:00,25.84
11/19/2010 16:00:00,25.69
11/22/2010 16:00:00,25.73
11/23/2010 16:00:00,25.12
11/24/2010 16:00:00,25.37
11/26/2010 16:00:00,25.25
11/29/2010 16:00:00,25.31
11/30/2010 16:00:00,25.26
12/1/2010 16:00:00,26.04
12/2/2010 16:00:00,26.89
12/3/2010 16:00:00,27.02
12/6/2010 16:00:00,26.84
12/7/2010 16:00:00,26.87
12/8/2010 16:00:00,27.23
12/9/2010 16:00:00,27.08
12/10/2010 16:00:00,27.34
12/13/2010 16:00:00,27.25
12/14/2010 16:00:00,27.62
12/15/2010 16:00:00,27.85
12/16/2010 16:00:00,27.99
12/17/2010 16:00:00,27.9
12/20/2010 16:00:00,27.81
12/21/2010 16:00:00,28.07
12/22/2010 16:00:00,28.19
12/23/2010 16:00:00,28.3
12/27/2010 16:00:00,28.07
12/28/2010 16:00:00,28.01
12/29/2010 16:00:00,27.97
12/30/2010 16:00:00,27.85
12/31/2010 16:00:00,27.91
1/3/2011 16:00:00,27.98
1/4/2011 16:00:00,28.09
1/5/2011 16:00:00,28
1/6/2011 16:00:00,28.82
1/7/2011 16:00:00,28.6
1/10/2011 16:00:00,28.22
1/11/2011 16:00:00,28.11
1/12/2011 16:00:00,28.55
1/13/2011 16:00:00,28.19
1/14/2011 16:00:00,28.3
1/18/2011 16:00:00,28.66
1/19/2011 16:00:00,28.47
1/20/2011 16:00:00,28.35
1/21/2011 16:00:00,28.02
1/24/2011 16:00:00,28.38
1/25/2011 16:00:00,28.45
1/26/2011 16:00:00,28.78
1/27/2011 16:00:00,28.87
1/28/2011 16:00:00,27.75
1/31/2011 16:00:00,27.73
2/1/2011 16:00:00,27.99
2/2/2011 16:00:00,27.94
2/3/2011 16:00:00,27.65
2/4/2011 16:00:00,27.77
2/7/2011 16:00:00,28.2
2/8/2011 16:00:00,28.28
2/9/2011 16:00:00,27.97
2/10/2011 16:00:00,27.5
2/11/2011 16:00:00,27.25
2/14/2011 16:00:00,27.23
2/15/2011 16:00:00,26.96
2/16/2011 16:00:00,27.02
2/17/2011 16:00:00,27.21
